id	title	note	flags
83	Mirai Nikki	โรคจิตผมชมพู	placeholder
84	Guilty Crown	โรคระบาดเหล็ก	placeholder
280	Guilty Crown (OP2)	โรคระบาดที่ชื่อว่าอัลฟ่า	placeholder
86	Fate/Grand Order - Absolute Demonic Front: Babylonia	น้องโล่่ผมชมพู	placeholder
88	Soul Eater	พระเอกกินวิญญาณ	placeholder
89	Blue Exorcist	ไฟสีฟ้าซาตาน	placeholder
283	Blue Exorcist (OP2)	ซาตานไฟสีฟ้า	placeholder
90	Noragami	เทพยาจก	
282	Noragami Aragoto	เทพขาจร	
96	Bocchi the Rock!	สาวผมชมพูเล่นกีต้าร์	placeholder
98	No Game No Life: Zero	ไม่มีภาค2	placeholder
99	Black Butler	พ่อบ้านเก	placeholder
191	Solo Leveling	จักรพรรดเงา	placeholder
257	Sword Art Online: Alicization	ดาบศิลปะออนไลน์	placeholder
258	Tokyo Ghoul:re	ซอยจุ๊แซ่บๆ	placeholder
276	Toradora! (OP2)	เตี้ยกับสูง	placeholder
277	Angel Beats! (ED1)	ตัวละครในเรื่องนี้ตายกันหมดเลยนะ	placeholder
281	Psycho-Pass (ED1)	พระเอกในเรื่องนี้เป็นตำรวจที่มีความสุข	placeholder
282	Noragami Aragoto	เทพขาจร	
283	Blue Exorcist (OP2)	ซาตานไฟสีฟ้า	placeholder
284	Sword Art Online II (OP2)	คนคอนมีปืน	placeholder
286	KonoSuba Season 2	ต่างโลกโคตรปั่น	placeholder
289	Shokugeki no Soma (OP2)	ทำอาหารที่มากกว่าแค่การทำอาหาร	placeholder
290	No Game No Life (ED)	เก่งเกมเก่งทุกอย่าง	placeholder,ed_or_insert
291	Overlord III	กระดูกโคตรเท่	placeholder
292	The Rising of the Shield Hero (OP2)	กูมีโล่	
294	Mushoku Tensei Season 2	รูเดียส	
295	Spy x Family Season 2	พ่อสปายแม่นักฆ่า	placeholder
296	Oshi no Ko (ED)	ไอดอล	ed_or_insert
297	Frieren: Beyond Journey's End (OP2)	เอลฟ์ลืมผัวเก่าไม่ได้	placeholder
298	The Apothecary Diaries (OP2)	ตำยาโคมแดง	placeholder
299	Mashle Season 1	เวทย์มนตร์ที่ใช้กล้ามเนื้อ	placeholder
300	Chainsaw Man (ED3)	โปจิตะ	
304	Coppelion	โลกนิวเคลียร์	placeholder
305	Madan no Ou to Vanadis	สงครามที่มีแต่ผู้หญิงกับพระเอกใช้ธนู	placeholder
306	Girls und Panzer	รถถัง	
385	Girls und Panzer das Finale	Grand symphony	
386	Girls und Panzer das Finale (Part 4)	Never Say Goodbye	
307	Drifters	ตัวละครในประวัติศาสตร์ที่ถูกส่งไปต่างโลกเพื่อสู้กันเอง	placeholder
308	Qualidea Code	หลอนทั้งเรื่อง	placeholder
310	Mahouka Koukou no Rettousei (OP1)	เทพทัต	
311	Mahouka Koukou no Rettousei (OP2)	เวทมนตร์ที่ใช้วิทยาศาสตร์อธิบายได้	placeholder
312	Mahouka Koukou no Rettousei: Visitor Arc	มีเวทย์มนต์ภาคที่มีผมเหลือง	placeholder
316	Absolute Duo	นางเอกผมขาวน่ารักสัส	placeholder
317	Seiken Tsukai no World Break	ผู้กล้าผมดำกับนางเอกผมขาวที่มีพลังเวทย์มนต์ที่ใช้ดาบเป็นอาวุธ	placeholder
318	Isekai wa Smartphone to Tomo ni (OP1)	สมาร์ทโฟนที่ใช้ได้ทุกอย่าง	placeholder
