id	title_old	title_new	kind	index	mal_url	status
1	Attack on Titan (OP1)	Shingeki no Kyojin (OP1)	opening	1	https://myanimelist.net/anime/16498	ok
2	Death Note (OP1)	Death Note (OP1)	opening	1	https://myanimelist.net/anime/1535	ok
3	Kimetsu no Yaiba (OP1)	Kimetsu no Yaiba (OP1)	opening	1	https://myanimelist.net/anime/38000	ok
4	Jujutsu Kaisen (OP1)	Jujutsu Kaisen (OP1)	opening	1	https://myanimelist.net/anime/40748	ok
5	Naruto (OP1)	Naruto (OP1)	opening	1	https://myanimelist.net/anime/20	ok
6	One Piece (OP1)	One Piece (OP1)	opening	1	https://myanimelist.net/anime/21	ok
7	Fullmetal Alchemist: Brotherhood (OP1)	Fullmetal Alchemist: Brotherhood (OP1)	opening	1	https://myanimelist.net/anime/5114	ok
8	Tokyo Ghoul (OP1)	Tokyo Ghoul (OP1)	opening	1	https://myanimelist.net/anime/22319	ok
9	Steins;Gate (OP1)	Steins;Gate (OP1)	opening	1	https://myanimelist.net/anime/9253	ok
10	Code Geass (OP1)	Code Geass: Hangyaku no Lelouch (OP1)	opening	1	https://myanimelist.net/anime/1575	ok
11	Sword Art Online (OP1)	Sword Art Online (OP1)	opening	1	https://myanimelist.net/anime/11757	ok
12	Fate/Zero (OP1)	Fate/Zero (OP1)	opening	1	https://myanimelist.net/anime/10087	ok
13	Fate/stay night: Unlimited Blade Works (OP1)	Fate - Stay Night (OP1)	opening	1	https://myanimelist.net/anime/22297	ok
14	No Game No Life (OP1)	No Game No Life (OP1)	opening	1	https://myanimelist.net/anime/19815	ok
15	Log Horizon (OP1)	Log Horizon (OP1)	opening	1	https://myanimelist.net/anime/17265	ok
16	Overlord (OP1)	Overlord (OP1)	opening	1	https://myanimelist.net/anime/29803	ok
17	Saga of Tanya the Evil (OP1)	Saga of Tanya the Evil (Youjo Senki) (OP1)	opening	1	https://myanimelist.net/anime/32615	ok
18	86 Eighty Six (OP1)	86 Eighty-Six (OP1)	opening	1	https://myanimelist.net/anime/41457	ok
19	Ghost in the Shell: Stand Alone Complex (OP1)	Ghost in the Shell: Stand Alone Complex (OP1)	opening	1	https://myanimelist.net/anime/467	ok
20	Cyberpunk: Edgerunners (OP1)	Cyberpunk: Edgerunners (OP1)	opening	1	https://myanimelist.net/anime/42310	ok
21	Neon Genesis Evangelion (OP1)	Neon Genesis Evangelion (OP1)	opening	1	https://myanimelist.net/anime/30	ok
22	My Hero Academia (OP1)	Boku no Hero Academia (OP1)	opening	1	https://myanimelist.net/anime/31964	ok
23	Hunter x Hunter (OP1)	Hunter x Hunter (OP1)	opening	1	https://myanimelist.net/anime/136	ok
24	Bleach (OP1)	Bleach (OP1)	opening	1	https://myanimelist.net/anime/269	ok
25	Fairy Tail (OP1)	Fairy Tail (OP1)	opening	1	https://myanimelist.net/anime/6702	ok
26	Black Clover (OP1)	Black Clover (OP1)	opening	1	https://myanimelist.net/anime/34572	ok
27	JoJo's Bizarre Adventure (OP1)	JoJo's Bizarre Adventure (OVA) (OP1)	opening	1	https://myanimelist.net/anime/665	ok
28	Gintama (OP1)	Gintama (OP1)	opening	1	https://myanimelist.net/anime/918	ok
29	Haikyuu!! (OP1)	Haikyuu!! (OP1)	opening	1	https://myanimelist.net/anime/20583	ok
30	Your Lie in April (OP1)	Shigatsu wa Kimi no Uso (OP1)	opening	1	https://myanimelist.net/anime/23273	ok
31	One Punch Man (OP1)	One Punch Man (OP1)	opening	1	https://myanimelist.net/anime/30276	ok
32	Mob Psycho 100 (OP1)	Mob Psycho 100 (OP1)	opening	1	https://myanimelist.net/anime/32182	ok
33	Cowboy Bebop (OP1)	Cowboy Bebop (OP1)	opening	1	https://myanimelist.net/anime/1	ok
34	Sailor Moon (OP1)	Sailor Moon (OP1)	opening	1	https://myanimelist.net/anime/530	ok
35	Dragon Ball Z (OP1)	Dragon Ball Z (OP1)	opening	1	https://myanimelist.net/anime/813	ok
36	Pokémon (OP1)	Pokémon (OP1)	opening	1	https://myanimelist.net/anime/527	ok
37	Digimon Adventure (OP1)	Digimon Adventure (OP1)	opening	1	https://myanimelist.net/anime/552	ok
38	Detective Conan (OP1)	Detective Conan (OP1)	opening	1	https://myanimelist.net/anime/235	ok
39	K-On! (OP1)	K-On! (OP1)	opening	1	https://myanimelist.net/anime/5680	ok
40	Toradora! (OP1)	Toradora! (OP1)	opening	1	https://myanimelist.net/anime/4224	ok
41	Re:Zero (OP1)	Re:ZERO -Starting Life in Another World- (OP1)	opening	1	https://myanimelist.net/anime/31240	ok
42	KonoSuba (OP1)	KonoSuba: God's Blessing on This Wonderful World! (OP1)	opening	1	https://myanimelist.net/anime/30831	ok
43	Tokyo Revengers (OP1)	Tokyo Revengers (OP1)	opening	1	https://myanimelist.net/anime/42249	ok
44	Chainsaw Man (OP1)	Chainsaw Man (OP1)	opening	1	https://myanimelist.net/anime/44511	ok
45	Spy x Family (OP1)	Spy x Family (OP1)	opening	1	https://myanimelist.net/anime/50265	ok
46	Oshi no Ko (OP1)	[Oshi no Ko] (OP1)	opening	1	https://myanimelist.net/anime/52034	ok
47	Frieren: Beyond Journey's End (OP1)	Sousou no Frieren (OP1)	opening	1	https://myanimelist.net/anime/52991	ok
48	Slam Dunk (OP1)	Slam Dunk (OP1)	opening	1	https://myanimelist.net/anime/170	ok
49	Inuyasha (OP1)	InuYasha (OP1)	opening	1	https://myanimelist.net/anime/249	ok
50	Dr. Stone (OP1)	Dr. Stone (OP1)	opening	1	https://myanimelist.net/anime/38691	ok
51	Kuroko's Basketball (OP1)	Kuroko no Basket (OP1)	opening	1	https://myanimelist.net/anime/11771	ok
52	Assassination Classroom (OP1)	Ansatsu Kyoushitsu (OP1)	opening	1	https://myanimelist.net/anime/24833	ok
53	The Seven Deadly Sins (OP1)	Trinity Seven: The Seven Deadly Sins and The Seven Mages (OP1)	opening	1	https://myanimelist.net/anime/28285	ok
54	That Time I Got Reincarnated as a Slime (OP1)	That Time I Got Reincarnated as a Slime (OP1)	opening	1	https://myanimelist.net/anime/37430	ok
55	Akame ga Kill! (OP1)	Akame ga Kill! (OP1)	opening	1	https://myanimelist.net/anime/22199	ok
56	Parasyte: The Maxim (OP1)	Parasyte: The Maxim (OP1)	opening	1	https://myanimelist.net/anime/22535	ok
57	Erased (OP1)	Boku dake ga Inai Machi (OP1)	opening	1	https://myanimelist.net/anime/31043	ok
58	Violet Evergarden (OP1)	Violet Evergarden (OP1)	opening	1	https://myanimelist.net/anime/33352	ok
59	Blue Lock (OP1)	Blue Lock (OP1)	opening	1	https://myanimelist.net/anime/49596	ok
60	Mushoku Tensei: Jobless Reincarnation (OP1)	Mushoku Tensei: Jobless Reincarnation (OP1)	opening	1	https://myanimelist.net/anime/39535	ok
61	The Rising of the Shield Hero (OP1)	The Rising of the Shield Hero (OP1)	opening	1	https://myanimelist.net/anime/35790	ok
62	Shokugeki no Soma (OP1)	Shokugeki no Soma (OP1)	opening	1	https://myanimelist.net/anime/28171	ok
63	Kaguya-sama: Love is War (OP1)	Kaguya-sama: Love is War (OP1)	opening	1	https://myanimelist.net/anime/37999	ok
64	Fire Force (OP1)	Enen no Shouboutai (OP1)	opening	1	https://myanimelist.net/anime/38671	ok
65	The Promised Neverland (OP1)	Yakusoku no Neverland (OP1)	opening	1	https://myanimelist.net/anime/37779	ok
66	Made in Abyss (OP1)	Made in Abyss (OP1)	opening	1	https://myanimelist.net/anime/34599	ok
67	Vinland Saga (OP1)	Vinland Saga (OP1)	opening	1	https://myanimelist.net/anime/37521	ok
68	Psycho-Pass (OP1)	Psycho-Pass (OP1)	opening	1	https://myanimelist.net/anime/13601	ok
69	Gurren Lagann (OP1)	Tengen Toppa Gurren Lagann (OP1)	opening	1	https://myanimelist.net/anime/2001	ok
70	Kill la Kill (OP1)	Kill la Kill (OP1)	opening	1	https://myanimelist.net/anime/18679	ok
71	Darling in the Franxx (OP1)	Darling in the FranXX (OP1)	opening	1	https://myanimelist.net/anime/35849	ok
72	Rascal Does Not Dream of Bunny Girl Senpai (OP1)	Rascal Does Not Dream of Bunny Girl Senpai (OP1)	opening	1	https://myanimelist.net/anime/37450	ok
73	Angel Beats! (OP1)	Angel Beats! (OP1)	opening	1	https://myanimelist.net/anime/6547	ok
74	Anohana (OP1)	Meiji x Kokosake & anohana Receipt Oubo Campaign (OP1)	opening	1	https://myanimelist.net/anime/31165	ok
75	Your Name (OP1)	Kimi no Na wa. (OP1)	opening	1	https://myanimelist.net/anime/32281	ok
76	Weathering with You (OP1)	With You: Mitsumeteitai (OP1)	opening	1	https://myanimelist.net/anime/2538	ok
77	A Silent Voice (OP1)	Koe no Katachi (OP1)	opening	1	https://myanimelist.net/anime/28851	ok
78	Nisekoi (OP1)	Nisekoi (OP1)	opening	1	https://myanimelist.net/anime/18897	ok
79	My Teen Romantic Comedy SNAFU (OP1)	My Teen Romantic Comedy SNAFU (OP1)	opening	1	https://myanimelist.net/anime/14813	ok
80	Horimiya (OP1)	Horimiya (OP1)	opening	1	https://myanimelist.net/anime/42897	ok
81	High School DxD (OP1)	High School DxD (OP1)	opening	1	https://myanimelist.net/anime/11617	ok
82	Date A Live (OP1)	Date A Live (OP1)	opening	1	https://myanimelist.net/anime/15583	ok
83	Mirai Nikki (OP1)	Mirai Nikki (OP1)	opening	1	https://myanimelist.net/anime/8460	ok
84	Guilty Crown (OP1)	Guilty Crown (OP1)	opening	1	https://myanimelist.net/anime/10793	ok
85	Danganronpa: The Animation (OP1)	Danganronpa: The Animation (OP1)	opening	1	https://myanimelist.net/anime/16592	ok
86	Fate/Grand Order - Absolute Demonic Front: Babylonia (OP1)	Fate/Grand Order (OP1)	opening	1	https://myanimelist.net/anime/36064	ok
