id	title_old	title_new	status
409	Demon Slayer: Mugen Train Arc (ED1)	Demon Slayer: Kimetsu no Yaiba Mugen Train Arc (ED1)	manual
410	Demon Slayer: Hashira Training Arc (OP1)	Demon Slayer: Kimetsu no Yaiba Hashira Training Arc (OP1)	manual
413	My Hero Academia Season 4 (OP1)	Boku no Hero Academia Season 4 (OP1)	manual
414	My Hero Academia Season 6 (OP1)	Boku no Hero Academia Season 6 (OP1)	manual
422	Naruto: Shippuden (OP16)	Naruto Shippuden (OP16)	manual
423	Naruto: Shippuden (OP6)	Naruto Shippuden (OP6)	manual
432	Cardfight Vanguard G: NEXT (OP1)	Cardfight Vanguard (OP1)	manual
433	Cardfight Vanguard G: Z (OP1)	Cardfight Vanguard (OP1)	manual
434	Cardfight Vanguard will+Dress Season 3 (OP1)	Cardfight Vanguard (OP1)	manual
435	Cardfight Vanguard Divinez Season 2 (OP1)	Cardfight Vanguard (OP1)	manual
